"Language","original","english","french","russian",
"Trigicon_00","A sight with a magnification of 4-40x.","A sight with a magnification of 4-40x.","Une vue avec un grossissement de 4-40x.","Прицел с кратностью 4-40х.",
"Barska_00","Barska Optic","Barska Optic","Optique Barska','Barska Optic",
"Barska_01","Medium magnification sight for picatinny rail.","Medium magnification sight for picatinny rail.","Viseur à grossissement moyen pour rail picatinny.","Прицел средней кратности для планки пикатинни.",
"Bravo4_00","The world's first wide-angle combat sight. Groundbreaking design for professional and civilian shooters. BRAVO4 provides an industry-leading 42% field of view over existing combat scopes.","The world's first wide-angle combat sight. Groundbreaking design for professional and civilian shooters. BRAVO4 provides an industry-leading 42% field of view over existing combat scopes.","Le premier viseur de combat grand angle au monde. Conception révolutionnaire pour les tireurs professionnels et civils. BRAVO4 offre un champ de vision de 42 % à la pointe de l'industrie par rapport aux lunettes de combat existantes.","Первый в мире широкоугольный боевой прицел. Принципиально новый дизайн для профессиональных и гражданских стрелков. BRAVO4 обеспечивает лучшее в отрасли поле обзора на 42% по сравнению с существующими боевыми прицелами.",
"FX2_00","Leupold FXII scope",Leupold FXII scope","Lunette Leupold FX II","Прицел Leupold FXII",
"FX2_01","A sight with a magnification of 8 / 12x.","A sight with a magnification of 8 / 12x.","Un viseur avec un grossissement de 8/12x.","Прицел с кратностью 8/12x.",
"Leupold_00","Precision, accuracy, durability, and dependability are the correct words to describe this Leupold Mark 4 HAMR 4x24mm with DeltaPoint scope. Member of the Mark 4 HAMR series, the model provides 4x magnification giving you a clear idea of the actual size of the targeted object. This Leupold device is the right choice for serious shooters and hunters who can appreciate its optical quality and performance. The scope weighs 14.8 oz and is 5.5 inches long.","Precision, accuracy, durability, and dependability are the correct words to describe this Leupold Mark 4 HAMR 4x24mm with DeltaPoint scope. Member of the Mark 4 HAMR series, the model provides 4x magnification giving you a clear idea of the actual size of the targeted object. This Leupold device is the right choice for serious shooters and hunters who can appreciate its optical quality and performance. The scope weighs 14.8 oz and is 5.5 inches long.","précision, précision, durabilité et fiabilité sont les mots justes pour décrire cette Leupold Mark 4 HAMR 4x24mm avec lunette DeltaPoint. Membre de la série Mark 4 HAMR, le modèle fournit un grossissement 4x vous donnant une idée claire de la taille réelle de l'objet ciblé. Cet appareil Leupold est le bon choix pour les tireurs et chasseurs sérieux qui peuvent apprécier sa qualité optique et ses performances. La lunette pèse 14,8 oz et mesure 5,5 pouces de long.","Изящность, точность, долговечность и надежность - вот правильные слова, чтобы описать этот Leupold Mark 4 HAMR 4x24 мм с прицелом DeltaPoint. Модель, входящая в серию Mark 4 HAMR, обеспечивает 4-кратное увеличение, что дает вам четкое представление о действительном размере целевого объекта. Это устройство Leupold - правильный выбор для серьезных стрелков и охотников, которые ценят его оптическое качество и производительность. Прицел весит 14,8 унции и имеет длину 5,5 дюйма.",
"Ncstar_00","Advance Dual Optic (ADO) 3X-9X variable magnification rifle with 42mm lens. Rifle ADO is a compact auxiliary collimator on top of the body.","Advance Dual Optic (ADO) 3X-9X variable magnification rifle with 42mm lens. Rifle ADO is a compact auxiliary collimator on top of the body.","Advance Dual Optic (ADO) 3X-9X avec objectif de 42 mm. Le fusil ADO est un collimateur auxiliaire compact sur le dessus du corps.","Ночной прицел Advance Dual Optic (ADO) 3X-9X с переменным увеличением и объективом 42 мм. В прицел ADO встроен компактный вспомогательный коллиматор сверху корпуса.",
"NightForce_00","Bright, near-perfect picture ... no recoil or anything else" is how the experts describe Nightforce ATACR ™. ED glass and virtually indestructible design make the ATACR ™ the unrivaled precision long-range shooting tool for military and tactical professionals and civilian shooters alike.","Bright, near-perfect picture ... no recoil or anything else" is how the experts describe Nightforce ATACR ™. ED glass and virtually indestructible design make the ATACR ™ the unrivaled precision long-range shooting tool for military and tactical professionals and civilian shooters alike.","Image lumineuse, presque parfaite... pas de recul ou quoi que ce soit d'autre", c'est ainsi que les experts décrivent Nightforce ATACR ™. Le verre ED et la conception pratiquement indestructible font de l'ATACR ™ l'outil de tir à longue portée de précision inégalé pour les professionnels militaires et tactiques et les tireurs civils.","«Яркое, практически идеальное изображение… без отдачи и всего остального» - так эксперты описывают Nightforce ATACR ™. Стекло ED и практически неразрушимая конструкция отличают ATACR ™ как непревзойденный высокоточный инструмент для стрельбы на дальние дистанции как среди военных, так и среди профессионалов в области тактики и гражданских стрелков.",
"OKP1_00","OKP7 Rail.","OKP7 Rail.","Rail OKP7.","ОКП7 Рельс.",
"OPP1_01","Reflex sight for weapons under the piccatini plaku","Reflex sight for weapons under the piccatini plaku","Viseur reflex pour armes sous le plaku piccatini","Коллиматорный прицел для оружия под плаку Пиккатини",
"OKP2_00","OKP-7 swallowtail","OKP-7 swallowtail","OKP-7 machaon","ОКП-7 ласточнкин хвост",
"OKP2_01","Reflex sight for weapons with Swallow Tail mount.","Reflex sight for weapons with Swallow Tail mount.","Viseur reflex pour armes avec monture Swallow Tail.","Коллиматорный прицел для оружия с креплением Ласточкин Хвост.",
"Pentax_00","The unique Pentax "Ultimate Zoom" scope has an electrically controlled zoom function. Great for long range shooting.","The unique Pentax "Ultimate Zoom" scope has an electrically controlled zoom function. Great for long range shooting.","The unique Pentax "Ultimate Zoom" scope has an electrically controlled zoom function. Great for long range shooting.","The unique Pentax "Ultimate Zoom" scope has an electrically controlled zoom function. Great for long range shooting.","La lunette unique Pentax "Ultimate Zoom" dispose d'une fonction de zoom à commande électrique. Idéal pour le tir à longue distance.","Уникальный прицел Pentax «Ultimate Zoom» имеет электрически управляемую функцию масштабирования. Отлично подходит для стрельбы на дальние дистанции.",
"SigTango_00","Excellent optics for hunters and professional shooters. Sig Sauer has built these scopes with extra-low dispersion glass combined with high transmittance glass to create the brightest and brightest scope images for your shooting needs.","Excellent optics for hunters and professional shooters. Sig Sauer has built these scopes with extra-low dispersion glass combined with high transmittance glass to create the brightest and brightest scope images for your shooting needs.",Excellente optique pour les chasseurs et les tireurs professionnels. Sig Sauer a construit ces oscilloscopes avec un verre à dispersion extra-faible combiné à un verre à haute transmittance pour créer les images de lunette les plus lumineuses et les plus lumineuses pour vos besoins de prise de vue.","Отличная оптика для охотников и профессиональных стрелков. Компания Sig Sauer построила эти прицелы с оптикой из стекла со сверхнизкой дисперсией в сочетании со стеклом с высоким коэффициентом пропускания для создания самых ярких и ярких изображений прицела для ваших нужд при стрельбе.",
"Vortex_00","Advanced tactical collimator of the new generation. It has the widest field of view, which improves targeting capabilities, as well as increases the shooter's situational awareness both day and night.","Advanced tactical collimator of the new generation. It has the widest field of view, which improves targeting capabilities, as well as increases the shooter's situational awareness both day and night.","Collimateur tactique avancé de nouvelle génération. Il a le champ de vision le plus large, ce qui améliore les capacités de ciblage et augmente la conscience de la situation du tireur de jour comme de nuit.","Усовершенствованный тактический коллиматор нового поколения. Он обладает широчайшим полем зрения, что улучшает возможности наведения на цель, а так же повышает ситуативную осведомленность стрелка как днем, так и ночью.",
"VortexRazor_00","A generation of high-tech riflescopes for use on sporting and hunting rifles. The use of advanced Plasma Tech technology guarantees the durability and quality of the lens coating.","A generation of high-tech riflescopes for use on sporting and hunting rifles. The use of advanced Plasma Tech technology guarantees the durability and quality of the lens coating.","Une génération de lunettes de visée de haute technologie pour une utilisation sur des fusils de sport et de chasse.L'utilisation de la technologie de pointe Plasma Tech garantit la durabilité et la qualité du revêtement des lentilles.","Поколение высокотехнологичных оптических прицелов для установки на спортивное и охотничье оружие.Использование передовой технологии Plasma Tech гарантирует долговечность и качество покрытия линз.",
"Vudu_00","Advanced tactical collimator of the new generation. It has the widest field of view, which improves targeting capabilities, as well as increases the shooter's situational awareness both day and night.","Advanced tactical collimator of the new generation. It has the widest field of view, which improves targeting capabilities, as well as increases the shooter's situational awareness both day and night.","Collimateur tactique avancé de nouvelle génération. Il a le champ de vision le plus large, ce qui améliore les capacités de ciblage et augmente la conscience de la situation du tireur de jour comme de nuit.","Усовершенствованный тактический коллиматор нового поколения. Он обладает широчайшим полем зрения, что улучшает возможности наведения на цель, а так же повышает ситуативную осведомленность стрелка как днем, так и ночью.",